V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,randomNum,SawSurvey,i01p1_1_TEXT,dt01p1_1_TEXT,Q92,i02p2_1_TEXT,dt02p1_1_TEXT,i03p3_1_TEXT,dt03p1_1_TEXT,i04p4_1_TEXT,dp01p1_1_TEXT,i05p5_1_TEXT,dp02p1_1_TEXT,i06p6_1_TEXT,dp03p1_1_TEXT,i07p7_1_TEXT,dp04p1_1_TEXT,i08p8_1_TEXT,dp05p1_1_TEXT,i09p9_1_TEXT,dp06p1_1_TEXT,i10p10_1_TEXT,dp07p1_1_TEXT,i11p11_1_TEXT,dp08p1_1_TEXT,i12p12_1_TEXT,dp09p1_1_TEXT,i13p13_1_TEXT,dt01p2_1_TEXT,Q93,i14p14_1_TEXT,dt02p2_1_TEXT,i15p15_1_TEXT,dt03p2_1_TEXT,i16p16_1_TEXT,dp01p2_1_TEXT,i17p17_1_TEXT,dp02p2_1_TEXT,i18p18_1_TEXT,dp03p2_1_TEXT,i19p19_1_TEXT,dp04p2_1_TEXT,i20p20_1_TEXT,dp05p2_1_TEXT,i21p21_1_TEXT,dp06p2_1_TEXT,i22p22_1_TEXT,dp07p2_1_TEXT,i23p23_1_TEXT,dp08p2_1_TEXT,i24p24_1_TEXT,dp09p2_1_TEXT,i25p25_1_TEXT,dt01p3_1_TEXT,Q94,i26p26_1_TEXT,dt02p3_1_TEXT,i27p27_1_TEXT,dt03p3_1_TEXT,i28p28_1_TEXT,dp01p3_1_TEXT,i29p29_1_TEXT,dp02p3_1_TEXT,i30p30_1_TEXT,dp03p3_1_TEXT,i31p31_1_TEXT,dp04p3_1_TEXT,i32p32_1_TEXT,dp05p3_1_TEXT,i33p33_1_TEXT,dp06p3_1_TEXT,i34p34_1_TEXT,dp07p3_1_TEXT,i35p35_1_TEXT,dp08p3_1_TEXT,i36p36_1_TEXT,dp09p3_1_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,randomNum,SawSurvey, -The baby is , -The man showed,Please try to include all parts of the picture in your responses., -The man is , -The boy handed, -The child is , -The girl offered, -The man is , -The girl gave, -The man is , -The boy threw, -The girl is , -The boy passed, -The man is , -The mayor awarded, -The woman is , -The waitress brought, -The lady is , -The salesman sold, -The dog is , -The girl sent, -The man is , -The boy wrote, -The uncle is , -The man paid, -The boy is , -The cowboy showed,Please try to include all parts of the picture in your responses., -The lady is , -The girl handed, -The mechanic is , -The maid offered, -The beggar is , -The nurse gave, -The man is , -The woman threw, -The woman is , -The husband passed, -The chick is , -The principal awarded, -The backpacker is , -The waitress brought, -The girl is , -The man sold, -The couple is , -The girl sent, -The boy is , -The queen wrote, -The girl is , -The boss paid, -The man is , -The woman showed,Please try to include all parts of the picture in your responses., -The woman is , -The girl handed, -The girl is , -The boy offered, -The kid is , -The man gave, -The dog is , -The zookeeper threw, -The man is , -The painter passed, -The boy is , -The teacher awarded, -The girl is, -The boy brought, -The man is , -The woman sold, -The man is , -The boy sent, -The boy is , -The girl wrote, -The secretary is , -The man paid,LocationLatitude,LocationLongitude,LocationAccuracy,
R_qyikTXxOuTRKcr7,Default Response Set,Anonymous,,,66.231.130.249,0,2014-10-29 13:49:47,2014-10-29 14:35:12,1,4217,1,crawling towards a wall.,the judge the evidential gun.,1,poking his fire with a stick outside his tent in the forest.,the singer sitting on a stool and holding a microphone an acoustic guitar.,crying.,her teacher flowers.,falling off the ladder.,her math teacher a bouquet.,sitting on a bench and looking away.,the girl the ball.,giggling.,the girl a pitcher over the dinner table.,skiing down the hill.,the woman a medal.,smiling.,the man a menu.,sneezing.,the car to the man for two-thousand nine-hundred ninety dollars.,barking.,her mom a letter.,wearing boxing gloves and ready to fight.,his girlfriend a text message.,clapping.,the bus boy five dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.638107299805,-82.414100646973,-1,
R_oYpwKc4yLNY3LWN,Default Response Set,Anonymous,,,70.185.127.1,0,2014-10-30 07:36:36,2014-10-30 08:25:02,1,88538,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on a banana peel.,the man a dress.,1,surfing in the ocean.,the boy on the ladder a paintbrush.,singing while wearing a dress.,the girl a box of chocolates.,hiding behind the curtains that are behind the chair.,the young girl a present.,on the grass wagging its tail.,a banana to the monkey that was hanging from a branch. ,taking a shower without a shirt on.,the small carpenter a hammer.,waving his hand.,the eager student a certificate of accomplishment..,standing in front of a chair.,a pencil for his mother who was in the living room.,sweating because it's hot outside.,the man a t-shirt.,whistling loudly.,his crush an email from his computer.,smiling and winking.,a fan letter to a rock singer she likes.,about to type on a typewriter.,the taxi driver $20 in cash.,29.573104858398,-82.407600402832,-1,
R_Wiic7QeWvnrUQrn,Default Response Set,Anonymous,,,74.179.117.204,0,2014-10-30 13:38:01,2014-10-30 13:45:44,1,81446,1,,,,,,,,,,,,,,,,,,,,,,,,,,coughing.,his hat to the clown.,1,sunbathing at the beach.,a letter to the boy on the ladder.,holding a drill.,drinks to the men at the party.,asking for money.,medicine to the sick patient.,fencing.,a bone to the dog.,fishing off the bank of the river.,the glass to his wife across the table.,hatching from the egg.,a trophy to the girl.,hitchhiking on the side of the road.,a pizza to the customer at the table.,jumping like the frog.,hotdogs to the girl.,sailing on the water.,a letter to her grandmother.,roller skating.,a letter to the princess.,on her knees.,his employee.,,,,,,,,,,,,,,,,,,,,,,,,,,29.643905639648,-82.736999511719,-1,
R_1DHnU5RRQYjnm03,Default Response Set,Anonymous,,,128.227.153.30,0,2014-10-30 23:30:54,2014-10-30 23:40:43,1,43211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,falling after having slipped on the banana peel.,her husband her new dress.,1,surfing down a wave.,a paintbrush to the painter.,singing.,a valentine card to a girl.,hiding behind the curtains and the sofa.,his daughter a present.,wagging its tail.,a banana to the monkey.,is showering.,The hammer to the carpenter.,waving at me.,the boy a certificate.,standing up from the chair.,a pencil to his mother.,sweating profusely from the heat.,,whistling.,an e-mail to his crush.,winking.,a song.,typing on the typewriter.,the taxi driver in his car.,29.651596069336,-82.324798583984,-1,
R_2rYzmWLF7T0ldqd,Default Response Set,Anonymous,,,128.227.174.137,0,2014-11-01 12:27:13,2014-11-01 12:39:45,1,1127,1,crawling toward a wall.,the judge a gun that is used as evidence for his argument.,1,roasting marshmellows while camping.,the singer his accoustic guitar.,whaling about his uncomfortable overalls.,her tearcher a bouque of small flowers.,falling down the ladder.,her math teacher a bouque of flowers.,casually sitting on the bench.,the baseball to the girl while they were playing catch.,thinking about if she should go swimming in the pool.,the juice to his sister across the table.,skiing down the snow covered slopes.,the first place runner his medal.,smiling.,the customer one menu since his blind date was running late.,sneezing into a tissue.,the gentleman a car for $2900.,barking loudly at noises outside.,a letter to her mom through the post box.,practicing boxing before his match.,to his mother and talked about it with her when she called.,clapping his hands.,the worker $5 to park his car.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_2vcrz5xP7J8vywp,Default Response Set,Anonymous,,,128.227.53.163,0,2014-11-03 21:58:34,2014-11-03 22:08:11,1,48274,1,,,,,,,,,,,,,,,,,,,,,,,,,,sick and coughing. ,the clown his hat outside the tent. ,1,sunbathing on a towel at the beach.,the letter K to the boy on the ladder to hang above the chalkboard. ,using a power drill.,drinks to the two men with mustaches conversing. ,sitting on the ground asking for money.,the patient their  tray of food while they laid in bed.,ready to fence an opponent. ,the dog a bone to fetch. ,fishing by herself at a lake. ,a drink to his wife across the table. ,hatching from it's shell.,the little girl a trophy. ,hitchhiking along the road.,pizza to the woman sitting by herself in the striped shirt. ,jumping in the grass like the frog next to her. ,a hotdog to the woman from his stand. ,out on their sailboat on the water. ,a christmas card to her grandmother in the mail. ,on rollerblades. ,a letter to her daughter the princess. ,kneeling on the ground on her knees. ,the worker $5000.,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_SUxuefI4beO88Cd,Default Response Set,Anonymous,,,128.227.216.111,0,2014-11-03 22:18:03,2014-11-03 22:34:36,1,29613,1,learning to crawl on the floor.,a weapon to the judge.,1,roasting marshmallows at his camp site. ,the guitar to the artist. ,upset and crying very loudly. ,flowers to her math teacher.,falling off of the ladder. ,flower to her math teacher. ,sitting on the bench and gazing. ,a baseball to the girl. ,coughing by the water. ,the cup to the girl over the table. ,skiing down an snowy mountain. ,the winner with a medal. ,smiling very happily. ,a menu to the gentleman dining by himself.,coughing very loudly. ,a car for a very cheap price. ,barking very loudly. ,a letter to her friend through the mail.,punching the air with his hands. ,a text message to her girlfriend.,clapping his hands loudly. ,the taxi five dollars for the ride. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_ePfMxgNZ1KsmBUh,Default Response Set,Anonymous,,,128.227.3.255,0,2014-11-03 16:22:36,2014-11-03 23:35:19,1,23784,1,,,,,,,,,,,,,,,,,,,,,,,,,,sick.,his hat to the clown.,1,tanning.,a letter to the boy.,using a screwdriver. ,the gentlemen a drink.,begging for money.,the patient his lunch.,fencing.,the bone for the dog to fetch.,fishing.,the drink to his  wife.,has broken out of its egg shell.,the girl a trophy.,hitch hiking.,pizza to the customer.,imitating the hopping frog.,hotdogs out of a hotdog stand to the woman.,sailing on their sailboat.,a letter to her mother.,roller blading. ,a little to the princess. ,kneeling.,his  employee.,,,,,,,,,,,,,,,,,,,,,,,,,,29.643295288086,-82.321403503418,-1,
R_XEXNyHdgkdyifFD,Default Response Set,Anonymous,,,128.227.34.79,0,2014-11-04 16:54:44,2014-11-04 17:10:38,1,35857,1,crawling on the floor.,the judge the evidence.,1,camping and fueling his fire.,the musician his guitar.,crying.,flowers to her teacher.,falling off the ladder!,a boquet of flowers to her male math teacher.,sitting on the bench.,the ball to the girl.,chuckling.,jug to the girl.,skiing downhill.,the champion ,smiling.,the customer the menu.,hacking up mucus.,"the car for $2,990.", barking near the fence.,a letter to her mother.,boxing.,a text to his girlfriend.,clapping.,five dollars to get in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_VR506LmOZ8WPU0p,Default Response Set,Anonymous,,,68.105.162.170,0,2014-11-04 21:31:26,2014-11-04 21:44:46,1,34474,1,,,,,,,,,,,,,,,,,,,,,,,,,,coughing and needs cough supressant.,his hat to the clown,1,probably going to get sun cancer because she is laying out and using tanning oil.,her teacher the letter K to hang above the board.,fixing the engine with a power drill,the two businessmen shots,sitting on a street coner asking for money.,patitent antibiotics for his illness,holding his saber prior to a fencing duel.,the dog a bone,fishing while she awaits her husbands return from war.,his glass of water across the table to his wife,coming into the world after hatching from its egg,the young student with a trophey for winning the spelling bee,hitch hiking on the side of the road,the customer a medium sized pizza,jumping up and down mimicing the frog in front of her.,hotdogs to the hungry customer,steering their toy sailboat for the side of the pond in Central Park.,her grandma a holiday card in the mail.,learning how to roller blade,an invitation to her future daugher-in-law asking her to join her for tea,kneeling on the ground in anguish over her poor course grade.,his loyal employee $5000 for his annual Holiday Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,29.638107299805,-82.414100646973,-1,
R_ykabKjA40Fvh5st,Default Response Set,Anonymous,,,66.87.148.170,0,2014-10-29 12:23:20,2014-10-29 12:25:52,0,11088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3jVZo97FEO0EihH,Default Response Set,Anonymous,,,128.227.3.255,0,2014-11-05 11:55:46,2014-11-05 12:15:47,1,27899,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,falling back after stepping on a banana peel.,the man who was standing her front of her the dress she was holding up.,1,surfing on a wave. ,the man on the ladder a paint brush.,singing a song. ,the girl in a skirt a heart. ,hid in the curtains behind the chair. ,the girl a wrapped present. ,in the trash shaking his tail.,the banana at the monkey. ,washing his head in the shower.,"the hammer to the girl who was kneeling down next to the table, saw, and pile of wood.",smiling and waving his hand.,the student with an award. ,standing with her hands on her hips in front of a chair. ,a pencil to a woman with her hand behind her back.,sweating on his head under the sun. ,the person in a suit a t-shirt. ,whistling a song.,"the girl his is thinking about, an email. ",winking at someone or something.,a letter about a boy who sings. ,typing on a typewriter. ,the man in the taxi cab.,29.651596069336,-82.324798583984,-1,
R_1IrQBVH6KGh5gO5,Default Response Set,Anonymous,,,128.227.216.47,0,2014-11-05 16:10:39,2014-11-05 16:16:06,1,84298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on a banana peel,her new dress to her boyfriend,1,surfing,a paintbrush to her father,singing,a valentine to the girl.,hiding under the curtains,a present to his daughter,wagging its tail.,a banana to the monkey.,showering.,a hammer to the carpenter.,waving enthusiastically.,the boy a certificate,standing up and stretching.,a pencil to his mother,sweating profusely,a shirt to the well-dressed man,whistling.,a love letter to his crush.,winking,a letter to her favorite singer,typing,his cab fare,29.651596069336,-82.324798583984,-1,
R_2UWOT25UwDAj0Ht,Default Response Set,Anonymous,,,128.227.49.46,0,2014-11-05 17:59:15,2014-11-05 18:09:09,1,79795,1,crawling toward the wall.,the judge the gun.,1,lighting a campfire outside his tent.,the guitar to the singer.,crying and wiping his tears.,her teacher some flowers.,falling down the ladder.,her teacher a bouquet of flowers.,sitting on a bench looking away.,the baseball to the girl.,putting her finger in her mouth.,the pitcher to the girl sitting across the table. ,skiing down a mountain.,the first place award to the competitor.,smiling.,the man a menu.,sneezing into a tissue.,the inexpensive car to the buyer.,barking in front of the fence.,her mom a postcard.,getting ready for a boxing match.,a text message to his mom.,clapping loudly.,the gas station attendant 5 dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_2UXkGFFkI0GWood,Default Response Set,Anonymous,,,70.191.204.135,0,2014-11-06 10:20:23,2014-11-06 10:35:02,1,20347,1,,,,,,,,,,,,,,,,,,,,,,,,,,sick. ,his hat to the clown.,1,tanning at the beach. ,"a ""k"" to the boy. ",drill gun. ,refreshments to the guests. ,asking for money by the street corner. ,gave the man medicine. ,fencing. ,a bone for the dog to fetch. ,fishing. ,a drink to his wife. ,hatching from it's egg. ,the girl with a trophy. ,is trying to hitch hike along the road. ,a pizza to the customer. ,hopping along with a frog.,hot dogs. ,enjoying the day sailing their boat. ,a letter to her grandmother. ,roller skating. ,invitations for her granddauthrers coronation. ,kneeling on the ground. ,her employee $5000. ,,,,,,,,,,,,,,,,,,,,,,,,,,30.42399597168,-87.223297119141,-1,
R_5bh8XbzM62r58GN,Default Response Set,Anonymous,,,143.88.0.222,0,2014-11-06 12:00:53,2014-11-06 12:13:11,1,49465,1,,,,,,,,,,,,,,,,,,,,,,,,,,very sick and coughing.,off his hat to the clown.,1,sunbathing on the beach.,the letter K to the boy on top of the ladder.,using a drill.,drinks to the two men,putting forth a bowl.,the patient some medicine.,fencing,a bone at the dog.,fishing,a drink to his wife.,hatching out of its egg.,a trophy to the student.,to hitchhike.,the lady her pizza.,jumping with the frog.,the girl a hot dog.,sailing,a letter to her mom.,rollerskating.,"to her daughter, the princess.",kneeling,5000 dollars to his employee.,,,,,,,,,,,,,,,,,,,,,,,,,,30.538192749023,-87.212303161621,-1,
R_3MfdMMcqilPUJPX,Default Response Set,Anonymous,,,108.59.17.4,0,2014-11-06 13:15:36,2014-11-06 13:55:05,1,33281,1,crawling to the wall.,the judge the gun as an evidence.,1,keeping himself warm with the fire.,the guitar to the singer.,crying.,the flowers to the older lady.,falling off the ladder. ,the flowers to the teacher as he is reaching to take it.,staring at something while sitting on the bench.,the ball to the girl.,giggling.,the pitcher to the girl as she is reaching over to get it.,skiing down the hills.,the player with a medals.,smiling.,menu over to the customer.,using a handkerchief to cover up her sneeze.,a car that is worth $2990 to another man.,barking in front of the fence.,a letter to someone through the post office box.,boxing.,a message to a girl. ,applauding. , five dollars in cash to the valet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.480499267578,-87.199699401855,-1,
